epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,80.9673,0.77365,0.59542,0.80833,0.96306,0.75,0.74565,0.39751,1.77638,0.72654,1.07811,0.0006536,0.0006536,0.0006536
138,81.5334,0.82786,0.61437,0.806,0.96471,0.75,0.74565,0.39752,1.73586,0.71264,1.07177,0.0006437,0.0006437,0.0006437
139,82.0938,0.81029,0.61868,0.78462,0.96435,0.75,0.74567,0.35605,1.80965,0.74097,1.06819,0.0006338,0.0006338,0.0006338
140,82.6619,0.87142,0.63942,0.82921,0.96602,0.75,0.74567,0.39653,1.95745,0.73442,1.07184,0.0006239,0.0006239,0.0006239
141,83.207,0.86099,0.6327,0.79014,0.96602,0.75,0.74567,0.39653,1.95745,0.73442,1.07184,0.000614,0.000614,0.000614
142,83.7524,0.82752,0.66848,0.79111,0.96762,0.75,0.88786,0.41121,1.98779,0.79346,1.07508,0.0006041,0.0006041,0.0006041
143,84.2769,0.77935,0.69513,0.78797,0.97002,0.75,0.88786,0.38673,1.9129,0.7799,1.08108,0.0005942,0.0005942,0.0005942
144,84.8564,0.81666,0.62849,0.80733,0.9661,0.75,0.74572,0.39716,1.84016,0.79242,1.08308,0.0005843,0.0005843,0.0005843
145,85.4054,0.85835,0.62314,0.79959,0.9661,0.75,0.74572,0.39716,1.84016,0.79242,1.08308,0.0005744,0.0005744,0.0005744
146,85.9595,0.83055,0.65892,0.80322,0.96139,0.75,0.74575,0.39719,1.75869,0.77206,1.08007,0.0005645,0.0005645,0.0005645
147,86.5972,0.79865,0.62438,0.81938,0.9566,0.75,0.7458,0.43891,1.61086,0.72405,1.06868,0.0005546,0.0005546,0.0005546
148,87.1574,0.82677,0.63197,0.82814,0.95016,0.75,0.74582,0.43076,1.62171,0.71729,1.05868,0.0005447,0.0005447,0.0005447
149,87.6739,0.73011,0.68724,0.79892,0.95016,0.75,0.74582,0.43076,1.62171,0.71729,1.05868,0.0005348,0.0005348,0.0005348
150,88.2279,0.75121,0.57985,0.82288,0.93631,0.75,0.74582,0.33132,1.7867,0.82594,1.06727,0.0005249,0.0005249,0.0005249
151,88.7794,0.84638,0.61376,0.78059,0.92809,0.75,0.74583,0.32307,1.86454,0.82723,1.07362,0.000515,0.000515,0.000515
152,89.3471,0.77581,0.59915,0.8115,0.92433,0.75,0.74581,0.35617,1.82553,0.8205,1.07963,0.0005051,0.0005051,0.0005051
153,89.8926,0.88279,0.62037,0.82804,0.92433,0.75,0.74581,0.35617,1.82553,0.8205,1.07963,0.0004952,0.0004952,0.0004952
154,90.4455,0.80419,0.59067,0.81437,0.92495,0.75,0.74582,0.35618,1.73838,0.75438,1.08027,0.0004853,0.0004853,0.0004853
155,91.0009,0.75571,0.58063,0.81859,0.94099,0.75,0.74581,0.40589,1.73469,0.70697,1.07707,0.0004754,0.0004754,0.0004754
156,91.5642,0.86314,0.61914,0.81121,0.95453,0.75,0.74582,0.38929,1.77514,0.79106,1.0814,0.0004655,0.0004655,0.0004655
157,92.0915,0.7851,0.58502,0.79509,0.95453,0.75,0.74582,0.38929,1.77514,0.79106,1.0814,0.0004556,0.0004556,0.0004556
